C#en,C#ec,C#em,C#mn,C#rn,C#ds,C#dn,C#dp,D#de,C#tempo,cD#d,Min,Seg
18,8,16,210,1,24,256,96,france,82565,1-BAIXO,1,"22,565"
18,8,16,210,1,24,256,96,france,82695,1-BAIXO,1,"22,695"
12,16,32,210,1,24,256,96,france,96009,1-BAIXO,1,"36,009"
12,16,32,210,1,24,256,96,france,85718,1-BAIXO,1,"25,718"
12,16,32,210,1,24,256,96,france,85046,1-BAIXO,1,"25,046"
12,16,32,210,1,24,256,96,france,95692,1-BAIXO,1,"35,692"
12,16,32,210,1,24,256,96,france,84788,1-BAIXO,1,"24,788"
18,4,16,224,1,24,128,192,france,119791,2-MEDIO,1,"59,791"
18,4,16,224,1,24,128,192,france,122136,2-MEDIO,2,"2,136"
18,4,16,224,1,24,128,192,france,144484,2-MEDIO,2,"24,484"
18,4,16,224,1,24,128,192,france,126825,2-MEDIO,2,"6,825"
18,4,16,224,1,24,128,192,france,121257,2-MEDIO,2,"1,257"
12,8,32,224,1,24,128,192,france,113971,1-BAIXO,1,"53,971"
12,8,32,224,1,24,128,192,france,111425,1-BAIXO,1,"51,425"
12,8,32,224,1,24,128,192,france,110597,1-BAIXO,1,"50,597"
12,8,32,224,1,24,128,192,france,106927,1-BAIXO,1,"46,927"
12,8,32,224,1,24,128,192,france,105126,1-BAIXO,1,"45,126"
6,16,64,224,1,24,128,192,france,109027,1-BAIXO,1,"49,027"
6,16,64,224,1,24,128,192,france,109646,1-BAIXO,1,"49,646"
6,16,64,224,1,24,128,192,france,110591,1-BAIXO,1,"50,591"
6,16,64,224,1,24,128,192,france,108399,1-BAIXO,1,"48,399"
6,16,64,224,1,24,128,192,france,107595,1-BAIXO,1,"47,595"
18,1,16,186,1,24,64,384,adhoc,465241,2-MEDIO,7,"45,241"
18,1,16,186,1,24,64,384,adhoc,458468,2-MEDIO,7,"38,468"
18,1,16,186,1,24,64,384,adhoc,460374,2-MEDIO,7,"40,374"
18,1,16,186,1,24,64,384,adhoc,459939,2-MEDIO,7,"39,939"
18,1,16,186,1,24,64,384,adhoc,454016,2-MEDIO,7,"34,016"
12,1,32,186,1,24,64,384,adhoc,547780,3-ALTO,9,"7,78"
12,1,32,186,1,24,64,384,adhoc,538815,3-ALTO,8,"58,815"
12,1,32,186,1,24,64,384,adhoc,542956,3-ALTO,9,"2,956"
12,1,32,186,1,24,64,384,adhoc,538858,3-ALTO,8,"58,858"
12,1,32,186,1,24,64,384,adhoc,548003,3-ALTO,9,"8,003"
12,2,32,186,1,24,64,384,adhoc,406233,2-MEDIO,6,"46,233"
12,2,32,186,1,24,64,384,adhoc,407661,2-MEDIO,6,"47,661"
12,2,32,186,1,24,64,384,adhoc,408880,2-MEDIO,6,"48,88"
12,2,32,186,1,24,64,384,adhoc,407020,2-MEDIO,6,"47,02"
12,2,32,186,1,24,64,384,adhoc,407423,2-MEDIO,6,"47,423"
6,2,64,186,1,24,64,384,adhoc,538514,3-ALTO,8,"58,514"
6,2,64,186,1,24,64,384,adhoc,545149,3-ALTO,9,"5,149"
6,2,64,186,1,24,64,384,adhoc,547293,3-ALTO,9,"7,293"
6,2,64,186,1,24,64,384,adhoc,545802,3-ALTO,9,"5,802"
6,2,64,186,1,24,64,384,adhoc,539404,3-ALTO,8,"59,404"
6,4,64,186,1,24,64,384,adhoc,408113,2-MEDIO,6,"48,113"
6,4,64,186,1,24,64,384,adhoc,407831,2-MEDIO,6,"47,831"
6,4,64,186,1,24,64,384,adhoc,413336,2-MEDIO,6,"53,336"
6,4,64,186,1,24,64,384,adhoc,404467,2-MEDIO,6,"44,467"
6,4,64,186,1,24,64,384,adhoc,412893,2-MEDIO,6,"52,893"
18,1,16,180,1,24,96,256,adhoc,596359,3-ALTO,9,"56,359"
18,1,16,180,1,24,96,256,adhoc,570349,3-ALTO,9,"30,349"
18,1,16,180,1,24,96,256,adhoc,568077,3-ALTO,9,"28,077"
18,1,16,180,1,24,96,256,adhoc,579424,3-ALTO,9,"39,424"
18,1,16,180,1,24,96,256,adhoc,584038,3-ALTO,9,"44,038"
12,2,32,180,1,24,96,256,adhoc,523454,3-ALTO,8,"43,454"
12,2,32,180,1,24,96,256,adhoc,522046,3-ALTO,8,"42,046"
12,2,32,180,1,24,96,256,adhoc,532898,3-ALTO,8,"52,898"
12,2,32,180,1,24,96,256,adhoc,524084,3-ALTO,8,"44,084"
12,2,32,180,1,24,96,256,adhoc,534132,3-ALTO,8,"54,132"
12,4,32,180,1,24,96,256,adhoc,493046,3-ALTO,8,"13,046"
12,4,32,180,1,24,96,256,adhoc,475205,2-MEDIO,7,"55,205"
12,4,32,180,1,24,96,256,adhoc,483818,3-ALTO,8,"3,818"
12,4,32,180,1,24,96,256,adhoc,469033,2-MEDIO,7,"49,033"
12,4,32,180,1,24,96,256,adhoc,471711,2-MEDIO,7,"51,711"
6,4,64,180,1,24,96,256,adhoc,523636,3-ALTO,8,"43,636"
6,4,64,180,1,24,96,256,adhoc,525381,3-ALTO,8,"45,381"
6,4,64,180,1,24,96,256,adhoc,521217,3-ALTO,8,"41,217"
6,4,64,180,1,24,96,256,adhoc,529011,3-ALTO,8,"49,011"
6,4,64,180,1,24,96,256,adhoc,518534,3-ALTO,8,"38,534"
6,8,64,180,1,24,96,256,adhoc,461791,2-MEDIO,7,"41,791"
6,8,64,180,1,24,96,256,adhoc,465547,2-MEDIO,7,"45,547"
6,8,64,180,1,24,96,256,adhoc,455508,2-MEDIO,7,"35,508"
6,8,64,180,1,24,96,256,adhoc,464764,2-MEDIO,7,"44,764"
6,8,64,180,1,24,96,256,adhoc,481879,3-ALTO,8,"1,879"
42,1,8,224,1,24,128,192,adhoc,707366,3-ALTO,11,"47,366"
42,1,8,224,1,24,128,192,adhoc,647474,3-ALTO,10,"47,474"
42,1,8,224,1,24,128,192,adhoc,640732,3-ALTO,10,"40,732"
42,1,8,224,1,24,128,192,adhoc,645644,3-ALTO,10,"45,644"
42,1,8,224,1,24,128,192,adhoc,604713,3-ALTO,10,"4,713"
18,1,16,224,1,24,128,192,adhoc,692486,3-ALTO,11,"32,486"
18,1,16,224,1,24,128,192,adhoc,689261,3-ALTO,11,"29,261"
18,1,16,224,1,24,128,192,adhoc,689031,3-ALTO,11,"29,031"
18,1,16,224,1,24,128,192,adhoc,691399,3-ALTO,11,"31,399"
18,1,16,224,1,24,128,192,adhoc,680678,3-ALTO,11,"20,678"
18,2,16,224,1,24,128,192,adhoc,607389,3-ALTO,10,"7,389"
18,2,16,224,1,24,128,192,adhoc,605980,3-ALTO,10,"5,98"
18,2,16,224,1,24,128,192,adhoc,607085,3-ALTO,10,"7,085"
18,2,16,224,1,24,128,192,adhoc,601087,3-ALTO,10,"1,087"
18,2,16,224,1,24,128,192,adhoc,600264,3-ALTO,10,"0,264"
12,2,32,224,1,24,128,192,adhoc,642708,3-ALTO,10,"42,708"
12,2,32,224,1,24,128,192,adhoc,647072,3-ALTO,10,"47,072"
12,2,32,224,1,24,128,192,adhoc,639675,3-ALTO,10,"39,675"
12,2,32,224,1,24,128,192,adhoc,644209,3-ALTO,10,"44,209"
12,2,32,224,1,24,128,192,adhoc,641274,3-ALTO,10,"41,274"
12,4,32,224,1,24,128,192,adhoc,581721,3-ALTO,9,"41,721"
12,4,32,224,1,24,128,192,adhoc,584698,3-ALTO,9,"44,698"
12,4,32,224,1,24,128,192,adhoc,582420,3-ALTO,9,"42,42"
12,4,32,224,1,24,128,192,adhoc,582518,3-ALTO,9,"42,518"
12,4,32,224,1,24,128,192,adhoc,584176,3-ALTO,9,"44,176"
6,4,64,224,1,24,128,192,adhoc,642549,3-ALTO,10,"42,549"
6,4,64,224,1,24,128,192,adhoc,641854,3-ALTO,10,"41,854"
6,4,64,224,1,24,128,192,adhoc,640822,3-ALTO,10,"40,822"
6,4,64,224,1,24,128,192,adhoc,649525,3-ALTO,10,"49,525"
6,4,64,224,1,24,128,192,adhoc,643477,3-ALTO,10,"43,477"
6,8,64,224,1,24,128,192,adhoc,577614,3-ALTO,9,"37,614"
6,8,64,224,1,24,128,192,adhoc,581404,3-ALTO,9,"41,404"
6,8,64,224,1,24,128,192,adhoc,582079,3-ALTO,9,"42,079"
6,8,64,224,1,24,128,192,adhoc,583926,3-ALTO,9,"43,926"
6,8,64,224,1,24,128,192,adhoc,580852,3-ALTO,9,"40,852"
42,1,8,210,1,24,256,96,adhoc,1154574,3-ALTO,19,"14,574"
42,1,8,210,1,24,256,96,adhoc,1034562,3-ALTO,17,"14,562"
42,1,8,210,1,24,256,96,adhoc,1014660,3-ALTO,16,"54,66"
42,1,8,210,1,24,256,96,adhoc,1021136,3-ALTO,17,"1,136"
42,1,8,210,1,24,256,96,adhoc,1009357,3-ALTO,16,"49,357"
42,2,8,210,1,24,256,96,adhoc,973841,3-ALTO,16,"13,841"
42,2,8,210,1,24,256,96,adhoc,977233,3-ALTO,16,"17,233"
42,2,8,210,1,24,256,96,adhoc,981220,3-ALTO,16,"21,22"
42,2,8,210,1,24,256,96,adhoc,981888,3-ALTO,16,"21,888"
42,2,8,210,1,24,256,96,adhoc,980829,3-ALTO,16,"20,829"
18,2,16,210,1,24,256,96,adhoc,1025731,3-ALTO,17,"5,731"
18,2,16,210,1,24,256,96,adhoc,1023005,3-ALTO,17,"3,005"
18,2,16,210,1,24,256,96,adhoc,1023005,3-ALTO,17,"3,005"
18,2,16,210,1,24,256,96,adhoc,1023005,3-ALTO,17,"3,005"
18,2,16,210,1,24,256,96,adhoc,1023005,3-ALTO,17,"3,005"
18,4,16,210,1,24,256,96,adhoc,981471,3-ALTO,16,"21,471"
18,4,16,210,1,24,256,96,adhoc,978265,3-ALTO,16,"18,265"
18,4,16,210,1,24,256,96,adhoc,977948,3-ALTO,16,"17,948"
18,4,16,210,1,24,256,96,adhoc,977865,3-ALTO,16,"17,865"
18,4,16,210,1,24,256,96,adhoc,980575,3-ALTO,16,"20,575"
12,4,32,210,1,24,256,96,adhoc,995047,3-ALTO,16,"35,047"
12,4,32,210,1,24,256,96,adhoc,997497,3-ALTO,16,"37,497"
12,4,32,210,1,24,256,96,adhoc,1005941,3-ALTO,16,"45,941"
12,4,32,210,1,24,256,96,adhoc,1005043,3-ALTO,16,"45,043"
12,4,32,210,1,24,256,96,adhoc,1005168,3-ALTO,16,"45,168"
12,8,32,210,1,24,256,96,adhoc,981400,3-ALTO,16,"21,4"
12,8,32,210,1,24,256,96,adhoc,981809,3-ALTO,16,"21,809"
12,8,32,210,1,24,256,96,adhoc,968999,3-ALTO,16,"8,999"
12,8,32,210,1,24,256,96,adhoc,984879,3-ALTO,16,"24,879"
12,8,32,210,1,24,256,96,adhoc,978773,3-ALTO,16,"18,773"
6,8,64,210,1,24,256,96,adhoc,994760,3-ALTO,16,"34,76"
6,8,64,210,1,24,256,96,adhoc,995979,3-ALTO,16,"35,979"
6,8,64,210,1,24,256,96,adhoc,999087,3-ALTO,16,"39,087"
6,8,64,210,1,24,256,96,adhoc,1004008,3-ALTO,16,"44,008"
6,8,64,210,1,24,256,96,adhoc,1003821,3-ALTO,16,"43,821"
6,16,64,210,1,24,256,96,adhoc,979396,3-ALTO,16,"19,396"
6,16,64,210,1,24,256,96,adhoc,982801,3-ALTO,16,"22,801"
6,16,64,210,1,24,256,96,adhoc,984864,3-ALTO,16,"24,864"
6,16,64,210,1,24,256,96,adhoc,982559,3-ALTO,16,"22,559"
6,16,64,210,1,24,256,96,adhoc,985568,3-ALTO,16,"25,568"
42,1,8,180,1,24,96,256,adhoc,508321,3-ALTO,8,"28,321"
42,1,8,180,1,24,96,256,adhoc,478369,2-MEDIO,7,"58,369"
42,1,8,180,1,24,96,256,adhoc,479871,2-MEDIO,7,"59,871"
42,1,8,180,1,24,96,256,adhoc,464727,2-MEDIO,7,"44,727"
42,1,8,180,1,24,96,256,adhoc,464899,2-MEDIO,7,"44,899"
18,2,16,180,1,24,96,256,adhoc,484493,3-ALTO,8,"4,493"
18,2,16,180,1,24,96,256,adhoc,481296,3-ALTO,8,"1,296"
18,2,16,180,1,24,96,256,adhoc,482477,3-ALTO,8,"2,477"
18,2,16,180,1,24,96,256,adhoc,487887,3-ALTO,8,"7,887"
18,2,16,180,1,24,96,256,adhoc,485980,3-ALTO,8,"5,98"
